,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
244,RELIGARE,1457352.0,178.0,No,No,No,Yes,,,Yes,,,,,
245,RELINFRA,1119054.0,133.0,No,No,No,Yes,,,,,,,,
246,RENUKA,4964595.0,56.0,No,No,No,Yes,,,,,,,,
247,RHIM,305453.0,877.0,Yes,Yes,Yes,,Yes,2510,,Yes,63,,,
248,RITES,351749.0,335.0,No,Yes,No,Yes,,,,,,,,
249,RKFORGE,365137.0,252.0,No,No,Yes,Yes,,,,,,,,
250,RPOWER,8075051.0,14.0,No,No,No,Yes,,,,,,,,
251,RTNINDIA,613020.0,42.0,No,No,No,Yes,,,,,,,,
252,RTNPOWER,4900028.0,4.0,No,No,No,Yes,,,,,,,,
253,RVNL,6978379.0,72.0,No,No,No,Yes,,,,Yes,,,,
254,SAIL,24316108.0,87.0,No,No,No,Yes,,,Yes,,,,,
255,SBICARD,636989.0,779.0,No,No,No,,,,,,,Yes,,
256,SBILIFE,878764.0,1267.0,No,No,No,,,,,Yes,,,,
257,SBIN,8240396.0,605.0,No,Yes,No,Yes,,,,Yes,,,,
258,SCHNEIDER,5172271.0,186.0,No,No,No,,Yes,21,Yes,,63,,,Yes
259,SEQUENT,272968.0,86.0,No,No,No,Yes,,,,,,,,
260,SHARDACROP,123497.0,486.0,Yes,No,Yes,Yes,,,,Yes,,,,
261,SHILPAMED,60590.0,282.0,No,No,No,Yes,,,,,,,,
262,SHRIRAMFIN,461694.0,1319.0,No,No,Yes,Yes,,,,,,,,
263,SJVN,9812276.0,34.0,No,No,No,Yes,,,,Yes,,,,
264,SONACOMS,617978.0,415.0,No,No,No,Yes,,,,,,,,
265,SOUTHBANK,42771074.0,19.0,No,No,No,Yes,,,,Yes,,,,
266,SPARC,216429.0,210.0,No,No,No,Yes,,,,,,,,
267,SPICEJET,1997371.0,38.0,No,No,No,Yes,,,,,,,,
268,SRF,266378.0,2266.0,Yes,No,No,,,,,,,,,
269,STAR,252219.0,356.0,No,No,Yes,Yes,,,,,,,,
270,STEELXIND,2074670.0,14.0,No,No,No,Yes,,,,,,,,
271,STLTECH,412877.0,172.0,No,No,No,Yes,,,,,,,,
272,SUBEXLTD,9216184.0,35.0,No,No,No,,Yes,,Yes,,,,,
273,SUNPHARMA,2246404.0,1016.0,No,Yes,No,,Yes,,Yes,,,,,
274,SUNTV,260373.0,481.0,No,No,No,Yes,,,,,,,,
275,SURYODAY,662188.0,114.0,No,No,No,Yes,,,,,,,,
276,SUVENPHAR,238244.0,491.0,No,No,Yes,,,,,Yes,,,,
277,SUZLON,142699316.0,10.0,No,No,No,Yes,,,,,,,,
278,SWANENERGY,559500.0,322.0,No,No,Yes,Yes,,,,Yes,,,,
279,TATACHEM,834472.0,942.0,No,No,No,Yes,,,,,,,,
280,TATACOFFEE,866008.0,221.0,No,No,No,Yes,,,,Yes,63,,,
281,TATACOMM,421233.0,1326.0,No,Yes,No,Yes,,,,Yes,,,,
282,TATACONSUM,3197445.0,763.0,No,No,No,Yes,,,,Yes,,,,
283,TATAMOTORS,10441250.0,386.0,No,No,No,Yes,,,,,,,,
284,TATAMTRDVR,1611648.0,207.0,No,No,No,Yes,,,,Yes,,,,
285,TATAPOWER,10270028.0,207.0,No,No,No,Yes,,,,,,,,
286,TATASTEEL,58792148.0,116.0,No,No,No,Yes,,,Yes,,,,,
287,TCS,1825389.0,3311.0,No,Yes,No,,,,Yes,,,,,
288,TECHM,1375123.0,1011.0,No,No,No,,,,,,,,,
289,THOMASCOOK,184616.0,73.0,No,No,No,Yes,,,,,,,,
290,THYROCARE,86417.0,605.0,No,No,No,Yes,,,,,,,,
291,TIMETECHNO,596734.0,93.0,No,No,No,Yes,,,,Yes,,,,
292,TITAN,1544489.0,2562.0,No,No,No,Yes,,,Yes,,,,,
293,TRENT,617515.0,1279.0,Yes,No,No,Yes,,,,Yes,,Yes,,
294,TRIDENT,2393421.0,34.0,No,No,No,Yes,,,,,,,,
295,TRITURBINE,386935.0,244.0,No,Yes,No,Yes,,,,,,,,
296,TRIVENI,399159.0,283.0,No,No,No,Yes,,,,,,,,
297,TTML,951751.0,88.0,No,No,No,Yes,,,,,,,,
298,TV18BRDCST,2889709.0,37.0,No,No,No,Yes,,,,,,,,
